s,h,vaf0,delta_t,fisher,cr_bound,identifiable
0.46,0.2,0.15,5.0,860.6816346546074,0.03408621131025565,1
0.46,0.2,0.15,6.63,863.556737572461,0.03402942113759552,1
0.46,0.4,0.01,0.6,27.404029341681266,0.19102613469654653,0
0.46,0.4,0.01,1.5,60.188900661382746,0.1288966987298441,1
0.46,0.4,0.01,3.0,195.41359456505077,0.07153566409592059,1
0.46,0.4,0.01,5.0,329.4859967318167,0.055091109537360655,1
0.46,0.4,0.01,6.63,367.3731114199043,0.052173060901390234,1
0.46,0.4,0.03,0.6,78.98097189262478,0.11252234209354983,1
0.46,0.4,0.03,1.5,154.95902082572954,0.0803325528234569,1
0.46,0.4,0.03,3.0,317.3756581616358,0.05613234589760109,1
0.46,0.4,0.03,5.0,396.8460495920582,0.0501982953246035,1
0.46,0.4,0.03,6.63,424.6123443806426,0.048529262575732555,1
0.46,0.4,0.05,0.6,126.5717383417034,0.0888856448751585,1
0.46,0.4,0.05,1.5,226.52282031326078,0.06644220241258483,1
0.46,0.4,0.05,3.0,373.55674746480884,0.051739438031794996,1
0.46,0.4,0.05,5.0,429.50944782822995,0.04825181336413031,1
0.46,0.4,0.05,6.63,450.2693782880914,0.047126348839208514,1
0.46,0.4,0.1,0.6,230.279025229718,0.06589808721855056,1
0.46,0.4,0.1,1.5,347.869312565711,0.05361569506888667,1
0.46,0.4,0.1,3.0,446.8431955900817,0.04730667513384991,1
0.46,0.4,0.1,5.0,473.9558910333201,0.04593365848892803,1
0.46,0.4,0.1,6.63,480.02063364984645,0.04564256545606281,1
0.46,0.4,0.15,0.6,315.5267428319491,0.0562965670981491,1
0.46,0.4,0.15,1.5,424.5625997352435,0.0485321055019014,1
0.46,0.4,0.15,3.0,487.69666473190716,0.04528194858186548,1
0.46,0.4,0.15,5.0,499.04046181846786,0.044764333264294666,1
0.46,0.4,0.15,6.63,497.8647014917592,0.04481715995545799,1
0.46,0.6,0.01,0.6,16.09975049288706,0.2492243243036678,0
0.46,0.6,0.01,1.5,35.71773940856538,0.1673239151033198,0
0.46,0.6,0.01,3.0,122.90671964231146,0.09020117319662228,1
0.46,0.6,0.01,5.0,213.50951572356053,0.06843706597531608,1
0.46,0.6,0.01,6.63,235.66368495319142,0.0651408869968744,1
0.46,0.6,0.03,0.6,46.6681048591924,0.14638275531768075,1
0.46,0.6,0.03,1.5,93.80909802861353,0.10324701865102248,1
0.46,0.6,0.03,3.0,204.6735929978352,0.06989869912310476,1
0.46,0.6,0.03,5.0,255.88933020263744,0.06251351387848297,1
0.46,0.6,0.03,6.63,271.0093396714794,0.06074462718880924,1
0.46,0.6,0.05,0.6,75.19752633730408,0.11531829768523987,1
0.46,0.6,0.05,1.5,139.11539320882218,0.08478370795187623,1
0.46,0.6,0.05,3.0,241.9567757687749,0.06428817624648084,1
0.46,0.6,0.05,5.0,276.05459698307834,0.060186973889434316,1
0.46,0.6,0.05,6.63,288.03530828056074,0.058921953346970035,1
0.46,0.6,0.1,0.6,138.54102486681896,0.08495927583743519,1
0.46,0.6,0.1,1.5,218.46703000453948,0.06765611373936879,1
0.46,0.6,0.1,3.0,289.6708405425848,0.058755376052624105,1
