s,h,vaf0,delta_t,rho,identifiable
0.46,0.6,0.1,0.6,0.1862467025519715,0
0.46,0.6,0.1,1.5,0.4421144390517289,0
0.46,0.6,0.1,3.0,0.86264268608082,1
0.46,0.6,0.1,5.0,0.9900226955301736,1
0.46,0.6,0.1,6.63,0.9989382928825399,1
0.46,0.6,0.15,0.6,0.2654509510054997,0
0.46,0.6,0.15,1.5,0.5558098022687964,1
0.46,0.6,0.15,3.0,0.9083933239669668,1
0.46,0.6,0.15,5.0,0.993657838688496,1
0.46,0.6,0.15,6.63,0.9993273236243336,1
0.46,0.8,0.01,0.6,0.0174328487281621,0
0.46,0.8,0.01,1.5,0.057877183533249436,0
0.46,0.8,0.01,3.0,0.32743429410831065,0
0.46,0.8,0.01,5.0,0.8849523687596993,1
0.46,0.8,0.01,6.63,0.986474859071586,1
0.46,0.8,0.03,0.6,0.051291584755134643,0
0.46,0.8,0.03,1.5,0.15768232815199051,0
0.46,0.8,0.03,3.0,0.5973475212128868,1
0.46,0.8,0.03,5.0,0.959082733430527,1
0.46,0.8,0.03,6.63,0.9955208162488555,1
0.46,0.8,0.05,0.6,0.08387111183158932,0
0.46,0.8,0.05,1.5,0.24069447812927555,0
0.46,0.8,0.05,3.0,0.7152711087483249,1
0.46,0.8,0.05,5.0,0.9754245341828524,1
0.46,0.8,0.05,6.63,0.9973499525676807,1
0.46,0.8,0.1,0.6,0.1601776795669377,0
0.46,0.8,0.1,1.5,0.3977361842048225,0
0.46,0.8,0.1,3.0,0.8395782436074399,1
0.46,0.8,0.1,5.0,0.9880510782423008,1
0.46,0.8,0.1,6.63,0.9987262219348956,1
0.46,0.8,0.15,0.6,0.2298989408267371,0
0.46,0.8,0.15,1.5,0.5082787615151182,1
0.46,0.8,0.15,3.0,0.8912058697792601,1
0.46,0.8,0.15,5.0,0.992332883904405,1
0.46,0.8,0.15,6.63,0.9991858228458221,1
0.46,1.0,0.01,0.6,0.015128268875095843,0
0.46,1.0,0.01,1.5,0.050500761832294704,0
0.46,1.0,0.01,3.0,0.29651550918675645,0
